<size=16
<width=24
<height=25
<layer=floor
0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
7,8,8,8,8,1,0,7,16,3,7,8,8,1,5,16,1,0,7,8,8,8,8,1
6,14,14,14,14,2,7,2,7,8,14,14,14,14,8,1,6,1,6,14,14,14,14,2
6,14,14,14,14,2,6,2,6,14,14,14,14,14,14,2,6,2,6,14,14,14,14,2
6,14,14,14,14,2,6,2,6,14,14,14,14,14,14,2,6,2,6,14,14,14,14,3
5,14,14,14,14,2,6,14,14,14,14,14,14,14,14,14,14,14,2,5,4,4,3,0
0,5,4,4,14,3,6,2,6,14,14,14,14,14,14,2,6,14,14,8,8,8,8,13
11,8,8,8,14,8,14,2,5,14,4,4,4,4,14,3,6,14,4,4,4,4,3,0
0,5,4,4,4,14,14,14,8,14,8,8,8,8,14,8,14,2,7,8,8,8,8,1
7,8,8,8,1,5,4,4,14,14,4,4,4,4,4,14,14,14,14,14,14,14,14,2
6,14,14,14,14,8,8,1,6,2,7,8,8,8,1,6,14,2,6,14,14,14,14,2
6,14,14,14,14,14,14,2,6,2,6,14,14,14,2,6,14,2,6,14,14,14,14,2
6,14,14,14,14,14,14,14,14,2,6,14,14,14,2,6,14,2,5,4,4,4,14,3
6,14,14,14,14,14,14,2,6,2,6,14,14,14,2,6,14,14,16,16,8,16,3,0
6,14,14,14,14,14,14,2,6,2,6,14,14,14,2,6,14,3,7,8,14,8,1,0
5,4,4,4,4,4,14,3,6,2,6,14,14,14,2,6,2,7,14,14,14,14,14,1
0,7,8,8,8,8,14,8,14,2,5,4,4,4,3,6,14,14,14,14,14,14,14,2
11,14,14,14,14,14,14,14,14,4,16,8,8,16,16,14,2,5,14,14,14,14,14,3
0,5,4,4,4,4,14,14,2,7,8,14,14,8,1,6,14,1,5,4,4,4,3,0
7,8,8,8,8,8,2,6,2,6,14,14,14,14,2,6,14,14,8,8,8,8,8,13
6,14,14,14,14,14,2,6,2,6,14,14,14,14,14,14,14,14,4,4,4,4,3,0
6,14,14,14,14,14,2,6,2,6,14,14,14,14,2,6,2,6,8,8,8,8,8,1
6,14,14,14,14,14,2,6,2,6,14,14,14,14,2,6,2,6,14,14,14,14,14,2
6,14,14,14,14,14,3,6,3,5,14,14,14,14,3,5,2,5,14,14,14,14,14,2
5,4,4,4,4,3,0,12,0,0,5,4,4,3,0,0,12,0,5,4,4,4,4,3
<layer=room
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,2,2,2,2,0,0,0,0,3,3,3,3,3,3
1,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,0,0,3,3,3,3,3,3
1,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,0,0,3,3,3,3,3,3
1,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,0,0,3,3,3,3,3,3
1,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,0,0,0,3,3,3,3,0
0,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0
4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6
0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,0,0,0,6,6,6,6,6,0
7,7,7,7,7,7,7,0,0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,0,0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,0,0,8,8,8,8,8,8,0,0,9,9,9,9,9,9,9
7,7,7,7,7,7,7,0,0,8,8,8,8,8,8,0,0,9,9,9,9,9,9,9
7,7,7,7,7,7,7,0,0,8,8,8,8,8,8,0,0,9,9,9,9,9,9,9
7,7,7,7,7,7,0,0,0,0,8,8,8,8,0,0,0,0,9,9,9,9,9,9
